Paper,Chart,Count
P06,Box plot/Violin plot,0
P07,Box plot/Violin plot,0
P08,Box plot/Violin plot,0
P09,Box plot/Violin plot,0
P10,Box plot/Violin plot,0
P11,Box plot/Violin plot,0
P12,Box plot/Violin plot,0
P13,Box plot/Violin plot,5
P14,Box plot/Violin plot,0
P15,Box plot/Violin plot,2
P16,Box plot/Violin plot,0
P17,Box plot/Violin plot,0
P18,Box plot/Violin plot,0
P19,Box plot/Violin plot,0
P20,Box plot/Violin plot,0
P21,Box plot/Violin plot,0
P22,Box plot/Violin plot,0
P23,Box plot/Violin plot,2
P24,Box plot/Violin plot,2
P25,Box plot/Violin plot,3
P26,Box plot/Violin plot,0
P27,Box plot/Violin plot,0
P28,Box plot/Violin plot,0
P29,Box plot/Violin plot,2
P30,Box plot/Violin plot,0
P31,Box plot/Violin plot,0
P01,Heatmap,0
P02,Heatmap,6
P03,Heatmap,0
P04,Heatmap,0
P05,Heatmap,2
P06,Heatmap,0
P07,Heatmap,1
P08,Heatmap,0
P09,Heatmap,0
P10,Heatmap,0
P11,Heatmap,0
P12,Heatmap,4
P13,Heatmap,0
P14,Heatmap,0
P15,Heatmap,0
P16,Heatmap,0
P17,Heatmap,4
P18,Heatmap,0
P19,Heatmap,1
P20,Heatmap,0
P21,Heatmap,0
P22,Heatmap,0
P23,Heatmap,1
P24,Heatmap,0
P25,Heatmap,0
P26,Heatmap,1
P27,Heatmap,8
P28,Heatmap,0
P29,Heatmap,0
P30,Heatmap,0
P31,Heatmap,0
P01,Network,1
P02,Network,0
P03,Network,0
P04,Network,0
P05,Network,0
P06,Network,0
P07,Network,0
P08,Network,0
P09,Network,7
P10,Network,0
P11,Network,0
P12,Network,0
P13,Network,0
P14,Network,0
P15,Network,1
P16,Network,0
P17,Network,0
P18,Network,4
P19,Network,2
P20,Network,0
P21,Network,0
P22,Network,0
P23,Network,0
P24,Network,0
P25,Network,0
P26,Network,1
P27,Network,0
P28,Network,0
P29,Network,0
P30,Network,0
P31,Network,3
P01,ROC curve,0
P02,ROC curve,0
P03,ROC curve,1
P04,ROC curve,9
P05,ROC curve,0
P06,ROC curve,0
P07,ROC curve,4
P08,ROC curve,1
P09,ROC curve,0
P10,ROC curve,3
P11,ROC curve,0
P12,ROC curve,0
P13,ROC curve,0
P14,ROC curve,0
P15,ROC curve,3
P16,ROC curve,0
P17,ROC curve,0
P18,ROC curve,0
P19,ROC curve,0
P20,ROC curve,0
P21,ROC curve,1
P22,ROC curve,0
P23,ROC curve,0
P24,ROC curve,0
P25,ROC curve,0
P26,ROC curve,0
P27,ROC curve,0
P28,ROC curve,0
P29,ROC curve,0
P30,ROC curve,0
P31,ROC curve,0
P01,P-R curve,0
P02,P-R curve,0
P03,P-R curve,0
P04,P-R curve,0
P05,P-R curve,0
P06,P-R curve,0
P07,P-R curve,0
P08,P-R curve,1
P09,P-R curve,0
P10,P-R curve,0
P11,P-R curve,0
P12,P-R curve,0
P13,P-R curve,0
P14,P-R curve,0
P15,P-R curve,0
P16,P-R curve,0
P17,P-R curve,0
P18,P-R curve,0
P19,P-R curve,0
P20,P-R curve,0
P21,P-R curve,0
P22,P-R curve,0
P23,P-R curve,0
P24,P-R curve,0
P25,P-R curve,0
P26,P-R curve,0
P27,P-R curve,0
P28,P-R curve,0
P29,P-R curve,0
P30,P-R curve,0
P31,P-R curve,0
P01,Confusion matrix,0
P02,Confusion matrix,6
P03,Confusion matrix,0
P04,Confusion matrix,0
P05,Confusion matrix,2
P06,Confusion matrix,0
P07,Confusion matrix,1
P08,Confusion matrix,0
P09,Confusion matrix,0
P10,Confusion matrix,0
P11,Confusion matrix,0
P12,Confusion matrix,4
P13,Confusion matrix,0
P14,Confusion matrix,0
P15,Confusion matrix,0
P16,Confusion matrix,0
P17,Confusion matrix,0
P18,Confusion matrix,0
P19,Confusion matrix,0
P20,Confusion matrix,0
P21,Confusion matrix,0
P22,Confusion matrix,0
P23,Confusion matrix,0
P24,Confusion matrix,0
P25,Confusion matrix,0
P26,Confusion matrix,1
P27,Confusion matrix,0
P28,Confusion matrix,0
P29,Confusion matrix,0
P30,Confusion matrix,0
P31,Confusion matrix,0
P01,Parallel coordinate plot,0
P02,Parallel coordinate plot,0
P03,Parallel coordinate plot,0
P04,Parallel coordinate plot,0
P05,Parallel coordinate plot,1
P06,Parallel coordinate plot,0
P07,Parallel coordinate plot,0
P08,Parallel coordinate plot,0
P09,Parallel coordinate plot,0
P10,Parallel coordinate plot,0
P11,Parallel coordinate plot,0
P12,Parallel coordinate plot,0
P13,Parallel coordinate plot,0
P14,Parallel coordinate plot,0
P15,Parallel coordinate plot,0
P16,Parallel coordinate plot,5
P17,Parallel coordinate plot,0
P18,Parallel coordinate plot,0
P19,Parallel coordinate plot,0
P20,Parallel coordinate plot,0
P21,Parallel coordinate plot,0
P22,Parallel coordinate plot,0
P23,Parallel coordinate plot,0
P24,Parallel coordinate plot,0
P25,Parallel coordinate plot,0
P26,Parallel coordinate plot,0
P27,Parallel coordinate plot,0
P28,Parallel coordinate plot,0
P29,Parallel coordinate plot,0
P30,Parallel coordinate plot,0
P31,Parallel coordinate plot,0
